# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	10093
#@/user_id	a8b00f8d-da25-48f6-bb68-71052c2c8d80
a 	啊	c=5 d=0.0071546 t=10093
a er 	阿爾	c=0 d=1.36552e-19 t=10093
a er bi en 	阿爾比恩	c=1 d=1.37236e-18 t=10093
a la ba ma zhou 	阿拉巴馬州	c=1 d=3.36675e-17 t=10093
a zi hai mo 	阿茲海默	c=1 d=0.0720785 t=10093
ai 	唉	c=1 d=0.0202419 t=10093
ai 	愛	c=1 d=3.06851e-14 t=10093
ai dang 	愛黨	c=1 d=9.17389e-16 t=10093
ai guo 	愛國	c=1 d=6.96823e-16 t=10093
ai hao 	愛好	c=1 d=1.17168e-11 t=10093
ai mei 	曖昧	c=1 d=7.49283e-17 t=10093
an 	安	c=2 d=1.37863e-10 t=10093
an 	按	c=2 d=0.162838 t=10093
an 	暗	c=4 d=0.162026 t=10093
an jian 	案件	c=1 d=5.97704e-05 t=10093
an li shuo 	按理說	c=1 d=3.01656e-19 t=10093
an quan 	安全	c=1 d=6.13565e-19 t=10093
an shi 	暗示	c=1 d=9.56323e-05 t=10093
an wei 	安慰	c=1 d=0.316637 t=10093
an yu 	暗語	c=1 d=8.49193e-19 t=10093
an zhao 	按照	c=1 d=2.55729e-17 t=10093
an zhuang 	安裝	c=3 d=4.05551e-14 t=10093
an zhuo 	安卓	c=2 d=0.100761 t=10093
an zi 	案子	c=1 d=4.99244e-05 t=10093
ao 	奧	c=1 d=2.18519e-20 t=10093
ao da li ya 	澳大利亞	c=3 d=0.767206 t=10093
ao ke lan 	奧克蘭	c=9 d=0.0176558 t=10093
ao men 	澳門	c=2 d=8.00576e-20 t=10093
ao zhou 	澳洲	c=2 d=2.38976e-14 t=10093
ba 	吧	c=5 d=0.379193 t=10093
ba 	把	c=11 d=0.324839 t=10093
ba ba 	爸爸	c=0 d=0.0117068 t=10093
ba da 	八大	c=1 d=0.166127 t=10093
ba jie 	八戒	c=1 d=1.1459e-14 t=10093
ba ke 	巴克	c=0 d=1.17491e-15 t=10093
ba ni 	把你	c=1 d=2.2049e-08 t=10093
ba ta 	把它	c=1 d=2.43298e-19 t=10093
ba wo 	把我	c=1 d=3.15379e-13 t=10093
bai 	白	c=2 d=0.88692 t=10093
bai du 	百度	c=2 d=0.826038 t=10093
bai he 	百合	c=3 d=2.22326 t=10093
bai nian 	百年	c=1 d=0.00209124 t=10093
bai re hua 	白熱化	c=1 d=2.95632e-17 t=10093
bai se 	白色	c=4 d=0.000187849 t=10093
ban 	版	c=2 d=9.11381e-19 t=10093
ban 	班	c=2 d=2.37853e-12 t=10093
ban ben 	版本	c=2 d=0.344728 t=10093
ban dao 	搬到	c=1 d=0.000176887 t=10093
ban dao ti 	半導體	c=1 d=1.46403e-14 t=10093
ban fa 	辦法	c=2 d=3.20337e-06 t=10093
ban ge 	半個	c=1 d=1.62666e-18 t=10093
ban ge yue 	半個月	c=1 d=0.481909 t=10093
ban gong shi 	辦公室	c=1 d=6.48257e-19 t=10093
ban lv 	伴侶	c=0 d=1.18979e-16 t=10093
ban nian 	半年	c=1 d=7.79199e-07 t=10093
ban quan 	版權	c=1 d=0.131994 t=10093
ban shang 	班上	c=1 d=1.09529e-12 t=10093
ban shi 	辦事	c=1 d=6.59645e-18 t=10093
ban shi chu 	辦事處	c=1 d=1.64245e-14 t=10093
bang 	幫	c=1 d=2.50103e-20 t=10093
bang ding 	綁定	c=3 d=0.946485 t=10093
bang shou 	幫手	c=1 d=2.31432e-19 t=10093
bao 	包	c=1 d=0.0034562 t=10093
bao chi 	保持	c=1 d=5.14974e-17 t=10093
bao dao 	報道	c=3 d=1.85653e-09 t=10093
bao gao 	報告	c=0 d=0.0625002 t=10093
bao han 	包含	c=2 d=0.010889 t=10093
bao hu 	保護	c=2 d=2.18081e-08 t=10093
bao ke meng 	寶可夢	c=2 d=8.92317e-05 t=10093
bao kuo 	包括	c=6 d=0.205975 t=10093
bao li 	暴力	c=0 d=7.62057e-11 t=10093
bao li fan zui 	暴力犯罪	c=1 d=3.81243e-09 t=10093
bao li fang xiang 	暴力方向	c=1 d=7.65877e-10 t=10093
bao shou 	保守	c=1 d=0.000590229 t=10093
bao shui 	報稅	c=7 d=5.6538e-05 t=10093
bao xian 	保險	c=1 d=2.31913e-14 t=10093
bao you 	抱有	c=2 d=3.41537e-09 t=10093
bao zha 	爆炸	c=0 d=7.109e-17 t=10093
bao zheng 	保證	c=1 d=1.3147e-13 t=10093
bao zi 	包子	c=0 d=0.00228227 t=10093
bao zi ge 	包子個	c=1 d=0.0229371 t=10093
bei 	唄	c=10 d=0.292946 t=10093
bei 	被	c=24 d=0.284814 t=10093
bei fang 	北方	c=1 d=1.36905e-19 t=10093
bei hou 	背後	c=1 d=1.78264e-07 t=10093
bei ji zhong 	被擊中	c=1 d=1.70449e-09 t=10093
bei jing 	北京	c=3 d=1.13798e-06 t=10093
bei jing 	背景	c=2 d=2.61158e-16 t=10093
